navnelbnr;cvrnr;pnr;region;brancheKode;branche;virksomhedstype;navn1;adresse1;postnr;By;seneste_kontrol;seneste_kontrol_dato;naestseneste_kontrol;naestseneste_kontrol_dato;tredjeseneste_kontrol;tredjeseneste_kontrol_dato;fjerdeseneste_kontrol;fjerdeseneste_kontrol_dato;URL;reklame_beskyttelse;Elite_Smiley;Kaedenavn;Geo_Lng;Geo_Lat;Pixibranche
1483494;37579076.0;1031326172.0;;DD.56.10.99;Serveringsvirksomhed - Restauranter m.v.;Detail;Burger street ;Vindegade 53D  ;5000;Odense C;4.0;04-12-2025 00:00:00;4.0;22-08-2025 00:00:00;1.0;04-07-2025 00:00:00;4.0;02-07-2025 00:00:00;http://www.findsmiley.dk/da-DK/Searching/DetailsView.htm?virk=1483494;0;0;;;;Restauranter, pizzeriaer, kantiner m.m.
941366;41104341.0;1025483789.0;;DD.56.10.99;Serveringsvirksomhed - Restauranter m.v.;Detail;Strandcafeen Hesselbjerg  ;Østersøvej 12  ;5932;Humble;4.0;05-08-2025 00:00:00;2.0;17-07-2025 00:00:00;1.0;12-07-2024 00:00:00;1.0;10-06-2023 00:00:00;http://www.findsmiley.dk/da-DK/Searching/DetailsView.htm?virk=941366;0;0;;10.656073;54.802997;Restauranter, pizzeriaer, kantiner m.m.
1277696;43571834.0;1028656250.0;;DD.10.71.20;Specialforretning - Bager m.v.;Detail;Dennis Jeremiassen Bageriet ;Møllergade 87  ;5700;Svendborg;4.0;05-12-2025 00:00:00;2.0;14-10-2025 00:00:00;1.0;13-06-2024 00:00:00;1.0;11-10-2023 00:00:00;http://www.findsmiley.dk/da-DK/Searching/DetailsView.htm?virk=1277696;0;0;;;;Bagere og bagerafdelinger
1240716;78577428.0;1002555057.0;;EB.20.16.99;Fremstilling af fødevarekontaktmaterialer, engros;Engros;TOMMERUP PLAST & VÆRKTØJSFABRIK A/S ;Tallerupvej 74  ;5690;Tommerup;4.0;13-11-2025 00:00:00;1.0;19-11-2024 00:00:00;2.0;14-10-2024 00:00:00;1.0;15-02-2023 00:00:00;http://www.findsmiley.dk/da-DK/Searching/DetailsView.htm?virk=1240716;0;0;;;;Emballager m.v.
1450169;37150398.0;1030411028.0;;DD.47.20.99;Specialforretning - Delikatesse, specialiteter m.v. med beha;Detail;Winthers Kaffe & Te ;Vestergade 61  ;5000;Odense C;4.0;15-12-2025 00:00:00;2.0;17-11-2025 00:00:00;1.0;06-08-2025 00:00:00;2.0;09-07-2025 00:00:00;http://www.findsmiley.dk/da-DK/Searching/DetailsView.htm?virk=1450169;0;0;;;;Delikatesse og smørrebrød
659104;37775770.0;1021486325.0;;DD.56.10.99;Serveringsvirksomhed - Restauranter m.v.;Detail;Hårby pizza ;Algade 55  ;5683;Hårby;4.0;17-12-2025 00:00:00;2.0;11-11-2025 00:00:00;1.0;23-03-2022 00:00:00;1.0;09-08-2021 00:00:00;http://www.findsmiley.dk/da-DK/Searching/DetailsView.htm?virk=659104;0;0;;10.121504;55.223556;Restauranter, pizzeriaer, kantiner m.m.
1468936;33144261.0;1031029984.0;;DD.47.10.99;Dagligvareforretning uden/med begrænset behandling;Detail;Toftevejen Nærbutik ;Toftevej 18D  ;5220;Odense SØ;4.0;20-11-2025 00:00:00;3.0;07-10-2025 00:00:00;1.0;19-05-2025 00:00:00;1.0;24-04-2025 00:00:00;http://www.findsmiley.dk/da-DK/Searching/DetailsView.htm?virk=1468936;0;0;;;;Dagligvarer
1481183;45357260.0;1031025911.0;;DD.47.10.99;Dagligvareforretning uden/med begrænset behandling;Detail;City Biksen ;Rugløkkevej 16  ;5240;Odense NØ;4.0;27-11-2025 00:00:00;1.0;07-11-2025 00:00:00;3.0;07-10-2025 00:00:00;;;http://www.findsmiley.dk/da-DK/Searching/DetailsView.htm?virk=1481183;0;0;;;;Dagligvarer
645137;37579076.0;1021302046.0;;DD.56.10.99;Serveringsvirksomhed - Restauranter m.v.;Detail;Grill & Indian Tasty ;Søndergade 1  ;5000;Odense C;4.0;27-11-2025 00:00:00;4.0;02-10-2025 00:00:00;2.0;28-08-2025 00:00:00;1.0;03-10-2024 00:00:00;http://www.findsmiley.dk/da-DK/Searching/DetailsView.htm?virk=645137;0;0;;10.379376;55.393516;Restauranter, pizzeriaer, kantiner m.m.
83889;10488346.0;1003945481.0;;DD.56.10.99;Serveringsvirksomhed - Restauranter m.v.;Detail;Sukkerfabrikken  ;Slotsgade  76  ;5953;Tranekær;4.0;30-10-2025 00:00:00;2.0;19-09-2025 00:00:00;1.0;11-12-2023 00:00:00;1.0;03-06-2021 00:00:00;http://www.findsmiley.dk/da-DK/Searching/DetailsView.htm?virk=83889;0;0;;10.853374;54.999177;Restauranter, pizzeriaer, kantiner m.m.
